repetitions,monitoring_software,sampling_period,metrics,time,Mops,nb_nodes
21,Likwid,1000,"_",67.38,54067.04,4
9,Likwid,100,"_",77.83,46808.06,4
27,Likwid,1000,"_",68.53,53158.63,4
10,Likwid,1000,"_",70.06,51997.14,4
9,Likwid,10,"_",128.50,28350.51,4
12,Likwid,100,"_",79.63,45745.21,4
4,Likwid,100,"_",82.04,44401.28,4
29,Likwid,1000,"_",69.17,52664.74,4
18,Likwid,1,"_",134.19,27147.40,4
1,Likwid,1,"_",132.47,27499.27,4
16,Likwid,1000,"_",69.56,52371.50,4
8,Likwid,1,"_",133.28,27332.83,4
12,Likwid,10,"_",129.46,28139.26,4
23,Likwid,1000,"_",69.14,52685.40,4
4,Likwid,10,"_",135.64,26857.58,4
25,Likwid,1000,"_",68.49,53189.45,4
20,Likwid,100,"_",78.58,46356.54,4
19,Likwid,100,"_",74.99,48577.56,4
11,Likwid,1000,"_",68.99,52803.58,4
2,Likwid,100,"_",81.89,44485.90,4
9,Likwid,1,"_",135.18,26948.71,4
20,Likwid,10,"_",134.86,27012.94,4
21,Likwid,100,"_",81.66,44611.64,4
13,Likwid,1000,"_",71.36,51049.69,4
19,Likwid,10,"_",114.42,31837.74,4
2,Likwid,10,"_",135.40,26905.24,4
12,Likwid,1,"_",98.85,36852.52,4
8,Likwid,1000,"_",70.75,51490.31,4
27,Likwid,100,"_",76.49,47626.54,4
10,Likwid,100,"_",82.83,43982.46,4
21,Likwid,10,"_",111.60,32642.16,4
4,Likwid,1,"_",136.10,26766.87,4
15,Likwid,10,"_",137.22,26548.46,4
28,Likwid,1000,"_",68.86,52901.44,4
29,Likwid,100,"_",76.32,47734.29,4
27,Likwid,10,"_",108.64,33531.95,4
10,Likwid,10,"_",131.82,27635.43,4
16,Likwid,100,"_",83.16,43804.70,4
17,Likwid,10,"_",134.00,27186.81,4
23,Likwid,100,"_",81.81,44526.77,4
6,Likwid,100,"_",82.57,44120.36,4
20,Likwid,1,"_",138.32,26336.84,4
19,Likwid,1,"_",135.32,26919.64,4
29,Likwid,10,"_",131.72,27657.04,4
2,Likwid,1,"_",137.14,26562.43,4
24,Likwid,1000,"_",69.84,52159.28,4
25,Likwid,100,"_",82.84,43973.32,4
23,Likwid,10,"_",129.83,28059.81,4
6,Likwid,10,"_",130.69,27873.92,4
11,Likwid,100,"_",76.39,47687.81,4
5,Likwid,10,"_",92.35,39446.80,4
21,Likwid,1,"_",125.56,29012.82,4
15,Likwid,1,"_",137.11,26569.90,4
4,Likwid,1000,"_",69.88,52130.46,4
25,Likwid,10,"_",132.90,27411.50,4
13,Likwid,100,"_",81.24,44839.71,4
11,Likwid,10,"_",134.21,27143.29,4
10,Likwid,1,"_",133.25,27338.63,4
17,Likwid,1,"_",133.37,27314.40,4
0,Likwid,1,"_",134.68,27048.46,4
8,Likwid,100,"_",77.17,47204.79,4
14,Likwid,1000,"_",69.09,52724.07,4
13,Likwid,10,"_",136.78,26632.61,4
29,Likwid,1,"_",133.62,27263.54,4
23,Likwid,1,"_",131.10,27787.25,4
6,Likwid,1,"_",90.36,40313.31,4
8,Likwid,10,"_",91.73,39715.30,4
28,Likwid,100,"_",80.30,45367.82,4
5,Likwid,1,"_",127.15,28650.78,4
3,Likwid,1000,"_",68.79,52957.59,4
25,Likwid,1,"_",120.73,30174.92,4
15,Likwid,1000,"_",69.39,52496.19,4
28,Likwid,10,"_",110.94,32835.91,4
11,Likwid,1,"_",131.50,27703.65,4
22,Likwid,1000,"_",70.27,51842.09,4
24,Likwid,100,"_",79.98,45546.89,4
7,Likwid,100,"_",81.59,44650.68,4
17,Likwid,1000,"_",70.03,52016.88,4
0,Likwid,1000,"_",68.63,53077.43,4
13,Likwid,1,"_",133.06,27377.47,4
26,Likwid,100,"_",82.35,44234.56,4
24,Likwid,10,"_",135.33,26918.14,4
7,Likwid,10,"_",128.39,28374.25,4
6,Likwid,1000,"_",70.36,51777.75,4
5,Likwid,1000,"_",69.15,52680.77,4
26,Likwid,10,"_",132.45,27504.76,4
14,Likwid,100,"_",82.01,44417.83,4
28,Likwid,1,"_",134.35,27115.08,4
18,Likwid,1000,"_",68.93,52846.42,4
1,Likwid,1000,"_",69.47,52438.48,4
14,Likwid,10,"_",130.76,27860.24,4
3,Likwid,100,"_",82.38,44219.34,4
24,Likwid,1,"_",135.14,26955.55,4
7,Likwid,1,"_",92.81,39252.16,4
15,Likwid,100,"_",80.15,45449.69,4
22,Likwid,100,"_",78.89,46177.42,4
3,Likwid,10,"_",135.46,26893.45,4
26,Likwid,1,"_",132.67,27458.17,4
17,Likwid,100,"_",77.74,46863.06,4
0,Likwid,100,"_",78.47,46422.29,4
9,Likwid,1000,"_",70.87,51404.45,4
22,Likwid,10,"_",134.30,27124.42,4
16,Likwid,10,"_",129.73,28081.65,4
0,Likwid,10,"_",97.78,37256.56,4
14,Likwid,1,"_",136.32,26723.27,4
12,Likwid,1000,"_",69.62,52328.12,4
5,Likwid,100,"_",74.62,48819.56,4
7,Likwid,1000,"_",69.86,52143.62,4
3,Likwid,1,"_",131.51,27701.01,4
27,Likwid,1,"_",133.73,27241.48,4
18,Likwid,100,"_",80.61,45192.74,4
1,Likwid,100,"_",80.67,45156.40,4
26,Likwid,1000,"_",68.91,52868.41,4
20,Likwid,1000,"_",71.59,50885.89,4
22,Likwid,1,"_",132.40,27515.13,4
16,Likwid,1,"_",135.39,26907.37,4
2,Likwid,1000,"_",69.46,52449.34,4
18,Likwid,10,"_",132.46,27501.93,4
1,Likwid,10,"_",134.51,27083.74,4
19,Likwid,1000,"_",68.55,53140.11,4
