repetitions,monitoring_software,sampling_period,metrics,time,Mops,nb_nodes
9,Likwid,10,"_",290.86,7560.35,4
11,Likwid,1,"_",299.88,7332.95,4
18,Likwid,100,"_",395.80,5555.83,4
1,Likwid,100,"_",218.21,10077.46,4
25,Likwid,100,"_",214.01,10275.38,4
0,Likwid,100,"_",217.89,10092.46,4
16,Likwid,1000,"_",214.13,10269.68,4
23,Likwid,1000,"_",205.05,10724.24,4
4,Likwid,10,"_",257.84,8528.70,4
12,Likwid,1,"_",246.61,8917.04,4
19,Likwid,1,"_",283.28,7762.76,4
2,Likwid,1,"_",388.35,5662.46,4
13,Likwid,100,"_",233.36,9423.18,4
23,Likwid,100,"_",211.48,10398.34,4
11,Likwid,1000,"_",212.14,10365.85,4
10,Likwid,10,"_",272.44,8071.62,4
21,Likwid,1,"_",259.59,8471.24,4
8,Likwid,1,"_",281.97,7798.80,4
29,Likwid,10,"_",255.75,8598.17,4
11,Likwid,100,"_",233.10,9433.85,4
6,Likwid,10,"_",249.83,8802.04,4
27,Likwid,1,"_",303.04,7256.43,4
19,Likwid,1000,"_",221.82,9913.56,4
2,Likwid,1000,"_",208.20,10562.07,4
18,Likwid,10,"_",291.59,7541.43,4
1,Likwid,10,"_",308.23,7134.31,4
25,Likwid,10,"_",385.30,5707.32,4
4,Likwid,1,"_",281.15,7821.51,4
7,Likwid,100,"_",422.74,5201.89,4
24,Likwid,100,"_",217.83,10095.27,4
0,Likwid,10,"_",253.97,8658.56,4
21,Likwid,1000,"_",205.84,10683.18,4
8,Likwid,1000,"_",214.20,10266.04,4
19,Likwid,100,"_",235.37,9342.65,4
2,Likwid,100,"_",222.16,9898.57,4
26,Likwid,100,"_",225.73,9741.68,4
9,Likwid,100,"_",215.47,10205.80,4
13,Likwid,10,"_",289.38,7599.02,4
17,Likwid,1,"_",296.64,7413.03,4
27,Likwid,1000,"_",213.50,10300.04,4
23,Likwid,10,"_",283.14,7766.65,4
21,Likwid,100,"_",239.08,9197.71,4
8,Likwid,100,"_",222.40,9887.72,4
15,Likwid,100,"_",216.63,10150.83,4
20,Likwid,1000,"_",207.46,10599.99,4
6,Likwid,1,"_",276.20,7961.70,4
14,Likwid,100,"_",210.11,10466.19,4
22,Likwid,1000,"_",214.68,10243.18,4
11,Likwid,10,"_",274.38,8014.38,4
25,Likwid,1,"_",282.94,7771.96,4
20,Likwid,100,"_",211.24,10410.03,4
3,Likwid,100,"_",207.22,10612.19,4
17,Likwid,1000,"_",213.49,10300.51,4
24,Likwid,10,"_",265.81,8272.80,4
22,Likwid,100,"_",215.97,10182.18,4
5,Likwid,100,"_",217.35,10117.39,4
28,Likwid,1,"_",278.89,7884.93,4
13,Likwid,1,"_",292.88,7508.30,4
7,Likwid,10,"_",266.18,8261.31,4
6,Likwid,1000,"_",213.53,10298.33,4
17,Likwid,100,"_",210.03,10469.80,4
2,Likwid,10,"_",248.93,8833.92,4
19,Likwid,10,"_",302.64,7266.25,4
26,Likwid,10,"_",281.75,7804.88,4
25,Likwid,1000,"_",212.92,10328.12,4
21,Likwid,10,"_",267.47,8221.66,4
8,Likwid,10,"_",268.50,8189.97,4
15,Likwid,10,"_",283.09,7767.99,4
14,Likwid,10,"_",258.02,8522.68,4
28,Likwid,1000,"_",207.61,10592.28,4
27,Likwid,10,"_",276.88,7942.20,4
13,Likwid,1000,"_",208.98,10522.44,4
16,Likwid,100,"_",216.75,10145.28,4
24,Likwid,1,"_",387.70,5671.94,4
7,Likwid,1,"_",298.73,7361.13,4
20,Likwid,10,"_",282.03,7797.01,4
3,Likwid,10,"_",295.36,7445.32,4
28,Likwid,100,"_",211.50,10397.14,4
26,Likwid,1,"_",266.63,8247.55,4
9,Likwid,1,"_",281.57,7809.75,4
22,Likwid,10,"_",287.56,7647.11,4
5,Likwid,10,"_",294.48,7467.44,4
17,Likwid,10,"_",291.80,7536.09,4
12,Likwid,1000,"_",208.08,10568.19,4
15,Likwid,1,"_",298.08,7377.41,4
14,Likwid,1,"_",262.18,8387.44,4
24,Likwid,1000,"_",213.67,10291.75,4
7,Likwid,1000,"_",213.37,10306.14,4
12,Likwid,100,"_",215.48,10205.09,4
20,Likwid,1,"_",270.70,8123.36,4
