repetitions,monitoring_software,sampling_period,metrics,time,Mops,nb_nodes
11,Likwid,1,"_",399.11,99967.79,4
14,Likwid,100,"_",271.91,146729.52,4
24,Likwid,1,"_",358.79,111202.15,4
23,Likwid,1,"_",372.38,107142.35,4
6,Likwid,1,"_",361.23,110450.77,4
16,Likwid,1000,"_",241.54,165178.56,4
17,Likwid,1,"_",386.86,103133.26,4
0,Likwid,1,"_",390.12,102269.98,4
25,Likwid,100,"_",272.67,146323.77,4
21,Likwid,1,"_",378.81,105324.90,4
10,Likwid,100,"_",260.68,153050.57,4
19,Likwid,1,"_",366.57,108842.08,4
2,Likwid,1,"_",368.95,108140.32,4
4,Likwid,1000,"_",241.71,165063.12,4
1,Likwid,1,"_",389.03,102556.87,4
11,Likwid,1000,"_",241.52,165195.21,4
25,Likwid,10,"_",369.38,108012.96,4
10,Likwid,10,"_",379.96,105004.65,4
13,Likwid,100,"_",266.03,149972.78,4
23,Likwid,1000,"_",240.04,166213.11,4
6,Likwid,1000,"_",239.81,166373.46,4
7,Likwid,1,"_",388.06,102813.96,4
17,Likwid,1000,"_",241.16,165444.69,4
0,Likwid,1000,"_",240.72,165746.77,4
8,Likwid,100,"_",275.09,145036.71,4
13,Likwid,10,"_",379.97,105003.72,4
26,Likwid,1,"_",387.58,102940.07,4
27,Likwid,100,"_",270.03,147752.14,4
19,Likwid,1000,"_",238.60,167217.92,4
2,Likwid,1000,"_",239.89,166314.64,4
8,Likwid,10,"_",365.33,109209.77,4
1,Likwid,1000,"_",241.47,165226.43,4
15,Likwid,1,"_",386.39,103257.15,4
16,Likwid,100,"_",265.85,150078.94,4
27,Likwid,10,"_",386.06,103345.87,4
25,Likwid,1,"_",373.08,106942.18,4
7,Likwid,1000,"_",240.50,165898.77,4
26,Likwid,1000,"_",240.09,166182.46,4
11,Likwid,100,"_",269.18,148220.19,4
3,Likwid,1000,"_",241.55,165173.45,4
13,Likwid,1,"_",386.63,103194.36,4
20,Likwid,1,"_",373.20,106909.06,4
15,Likwid,1000,"_",240.88,165632.48,4
6,Likwid,100,"_",277.21,143925.60,4
22,Likwid,1000,"_",239.08,166879.69,4
17,Likwid,100,"_",264.19,151020.30,4
0,Likwid,100,"_",267.90,148929.07,4
11,Likwid,10,"_",368.26,108340.98,4
9,Likwid,1,"_",365.89,109043.58,4
19,Likwid,100,"_",274.17,145521.29,4
2,Likwid,100,"_",262.76,151841.29,4
0,Likwid,10,"_",389.20,102513.22,4
17,Likwid,10,"_",387.76,102892.91,4
28,Likwid,1,"_",389.53,102425.36,4
1,Likwid,100,"_",277.92,143557.65,4
20,Likwid,1000,"_",240.29,166039.10,4
19,Likwid,10,"_",388.26,102760.23,4
2,Likwid,10,"_",380.14,104955.36,4
1,Likwid,10,"_",380.05,104980.19,4
7,Likwid,100,"_",273.46,145898.42,4
9,Likwid,1000,"_",239.61,166508.78,4
26,Likwid,100,"_",263.60,151356.80,4
7,Likwid,10,"_",383.91,103924.34,4
14,Likwid,10,"_",389.27,102493.57,4
3,Likwid,100,"_",280.31,142332.50,4
18,Likwid,1,"_",387.68,102915.12,4
28,Likwid,1000,"_",238.92,166995.86,4
29,Likwid,1,"_",383.19,104120.33,4
12,Likwid,1,"_",379.45,105148.06,4
26,Likwid,10,"_",368.70,108213.71,4
15,Likwid,100,"_",280.35,142316.71,4
21,Likwid,1000,"_",239.70,166452.76,4
22,Likwid,100,"_",273.44,145910.06,4
5,Likwid,100,"_",264.14,151048.09,4
3,Likwid,10,"_",364.17,109558.50,4
24,Likwid,1000,"_",242.09,164804.49,4
15,Likwid,10,"_",389.18,102517.07,4
22,Likwid,10,"_",356.20,112008.82,4
5,Likwid,10,"_",387.07,103076.93,4
18,Likwid,1000,"_",238.65,167182.18,4
20,Likwid,100,"_",266.27,149842.82,4
29,Likwid,1000,"_",242.00,164866.49,4
12,Likwid,1000,"_",239.51,166584.81,4
14,Likwid,1,"_",360.61,110639.42,4
20,Likwid,10,"_",377.18,105780.26,4
9,Likwid,100,"_",258.40,154401.28,4
3,Likwid,1,"_",389.66,102392.26,4
10,Likwid,1,"_",361.82,110268.62,4
28,Likwid,100,"_",278.62,143200.12,4
9,Likwid,10,"_",367.49,108567.54,4
16,Likwid,10,"_",376.77,105894.35,4
22,Likwid,1,"_",389.18,102517.49,4
21,Likwid,100,"_",266.68,149607.74,4
4,Likwid,100,"_",265.81,150101.67,4
5,Likwid,1,"_",370.78,107605.77,4
28,Likwid,10,"_",383.77,103962.45,4
14,Likwid,1000,"_",240.17,166124.94,4
24,Likwid,100,"_",268.75,148457.39,4
23,Likwid,100,"_",271.77,146807.36,4
21,Likwid,10,"_",349.76,114073.89,4
4,Likwid,10,"_",380.32,104905.18,4
8,Likwid,1,"_",386.85,103135.71,4
25,Likwid,1000,"_",245.14,162754.85,4
24,Likwid,10,"_",383.18,104124.33,4
10,Likwid,1000,"_",242.52,164512.57,4
18,Likwid,100,"_",278.87,143069.24,4
23,Likwid,10,"_",373.64,106781.12,4
6,Likwid,10,"_",386.13,103327.19,4
27,Likwid,1,"_",381.34,104625.10,4
12,Likwid,100,"_",265.82,150093.48,4
29,Likwid,100,"_",269.94,147800.69,4
5,Likwid,1000,"_",243.50,163850.79,4
18,Likwid,10,"_",385.86,103398.86,4
13,Likwid,1000,"_",241.62,165126.22,4
29,Likwid,10,"_",389.45,102447.40,4
16,Likwid,1,"_",390.15,102263.82,4
12,Likwid,10,"_",389.75,102367.27,4
8,Likwid,1000,"_",241.91,164931.85,4
27,Likwid,1000,"_",241.65,165105.89,4
4,Likwid,1,"_",386.25,103296.04,4
