repetitions,type_colmet,sampling_period,metrics,time,Mops
3,Python,0.01,"_",24.24,150257.11
24,Python,0.001,"_",29.16,124931.94
27,Python,0.1,"_",19.59,185967.46
4,Python,0.001,"_",29.33,124193.31
8,Python,0.001,"_",29.65,122878.95
13,Python,0.01,"_",26.60,136976.63
21,Python,0.1,"_",20.05,181667.52
23,Python,0.01,"_",29.89,121877.72
11,Python,0.01,"_",24.86,146557.08
3,Python,0.001,"_",29.79,122283.29
5,Python,1,"_",18.83,193504.90
28,Python,0.01,"_",27.92,130461.89
16,Python,1,"_",19.77,184273.68
10,Python,0.01,"_",27.68,131600.08
18,Python,1,"_",18.77,194096.56
0,Python,1,"_",18.61,195750.31
6,Python,0.01,"_",26.30,138526.40
13,Python,0.001,"_",29.54,123315.06
9,Python,0.001,"_",30.29,120285.01
19,Python,0.1,"_",19.81,183877.13
19,Python,1,"_",18.89,192841.35
23,Python,0.001,"_",29.38,124013.32
16,Python,0.1,"_",19.70,184888.77
18,Python,0.1,"_",20.25,179916.61
22,Python,0.1,"_",19.78,184140.32
10,Python,0.001,"_",29.01,125557.12
7,Python,0.01,"_",25.80,141204.88
5,Python,0.01,"_",29.35,124111.13
7,Python,0.1,"_",19.52,186615.91
19,Python,0.01,"_",25.42,143326.58
6,Python,0.001,"_",29.18,124849.77
24,Python,1,"_",18.45,197485.71
0,Python,0.01,"_",26.54,137241.64
29,Python,0.01,"_",29.08,125288.09
17,Python,0.1,"_",19.96,182542.48
17,Python,1,"_",18.69,194864.07
4,Python,0.01,"_",29.52,123398.39
15,Python,0.001,"_",29.48,123587.95
28,Python,0.001,"_",28.83,126350.24
24,Python,0.1,"_",19.68,185099.44
5,Python,0.001,"_",29.87,121964.90
12,Python,0.001,"_",29.69,122704.74
26,Python,0.01,"_",24.68,147586.39
14,Python,0.1,"_",19.92,182900.58
14,Python,1,"_",18.47,197223.79
25,Python,1,"_",18.62,195621.68
8,Python,0.01,"_",28.77,126621.84
8,Python,0.1,"_",20.52,177499.79
23,Python,1,"_",20.28,179647.23
25,Python,0.01,"_",28.27,128842.02
9,Python,1,"_",18.57,196119.13
13,Python,1,"_",18.93,192453.57
9,Python,0.1,"_",20.26,179805.23
20,Python,0.1,"_",19.84,183629.30
20,Python,1,"_",18.61,195707.75
11,Python,1,"_",18.74,194395.42
7,Python,0.001,"_",29.62,123002.31
22,Python,0.001,"_",29.59,123105.01
29,Python,0.001,"_",29.10,125188.59
2,Python,0.001,"_",29.73,122530.49
14,Python,0.01,"_",26.25,138798.49
21,Python,1,"_",18.55,196398.09
1,Python,0.001,"_",30.32,120159.20
27,Python,0.01,"_",28.89,126094.06
15,Python,0.1,"_",19.90,183023.66
11,Python,0.1,"_",19.81,183915.06
15,Python,1,"_",18.80,193744.19
20,Python,0.01,"_",27.27,133586.94
28,Python,1,"_",18.54,196459.89
26,Python,0.001,"_",28.81,126449.80
10,Python,0.1,"_",20.65,176405.02
6,Python,0.1,"_",19.90,183104.20
6,Python,1,"_",21.14,172298.08
12,Python,0.1,"_",20.11,181118.95
12,Python,1,"_",18.86,193121.40
14,Python,0.001,"_",29.05,125409.61
25,Python,0.001,"_",30.28,120296.47
21,Python,0.01,"_",28.28,128806.63
28,Python,0.1,"_",21.99,165690.28
20,Python,0.001,"_",29.57,123198.81
22,Python,1,"_",18.78,193988.07
15,Python,0.01,"_",26.63,136778.09
7,Python,1,"_",18.65,195291.00
5,Python,0.1,"_",19.88,183212.08
16,Python,0.01,"_",28.65,127148.44
18,Python,0.01,"_",26.66,136642.49
29,Python,1,"_",18.51,196811.21
0,Python,0.1,"_",19.67,185193.99
29,Python,0.1,"_",19.72,184768.21
12,Python,0.01,"_",24.49,148721.99
2,Python,1,"_",18.57,196198.31
4,Python,1,"_",18.76,194156.59
27,Python,0.001,"_",30.11,120980.72
1,Python,0.1,"_",19.86,183472.96
1,Python,1,"_",18.60,195900.51
11,Python,0.001,"_",29.71,122616.30
22,Python,0.01,"_",24.89,146340.78
26,Python,1,"_",18.63,195557.61
2,Python,0.1,"_",19.52,186617.91
4,Python,0.1,"_",20.04,181785.12
8,Python,1,"_",18.76,194163.88
17,Python,0.01,"_",25.53,142685.34
21,Python,0.001,"_",29.90,121841.48
2,Python,0.01,"_",25.60,142288.47
19,Python,0.001,"_",28.68,127004.72
3,Python,1,"_",18.90,192713.18
3,Python,0.1,"_",19.68,185105.52
1,Python,0.01,"_",25.09,145189.71
26,Python,0.1,"_",20.34,179136.54
16,Python,0.001,"_",29.32,124267.08
18,Python,0.001,"_",30.07,121147.49
24,Python,0.01,"_",29.67,122775.90
25,Python,0.1,"_",19.93,182799.81
0,Python,0.001,"_",29.54,123312.31
13,Python,0.1,"_",19.86,183432.48
17,Python,0.001,"_",30.36,119991.93
27,Python,1,"_",18.70,194793.37
23,Python,0.1,"_",19.83,183714.18
9,Python,0.01,"_",26.02,140012.76
10,Python,1,"_",18.68,195048.44
