repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
29,Python,0.01,"_",340.79,117075.00,4
17,Python,1,"_",245.67,162407.02,4
7,Python,0.001,"_",380.54,104844.35,4
0,Python,0.01,"_",333.98,119461.03,4
28,Python,0.01,"_",330.56,120698.39,4
16,Python,1,"_",242.66,164422.21,4
1,Python,0.001,"_",361.32,110423.92,4
8,Python,0.001,"_",352.41,113213.67,4
1,Python,1,"_",241.41,165269.82,4
12,Python,1,"_",238.53,167265.71,4
3,Python,1,"_",242.50,164529.38,4
14,Python,1,"_",239.00,166940.26,4
17,Python,0.1,"_",247.86,160968.73,4
16,Python,0.1,"_",252.93,157741.47,4
14,Python,0.1,"_",245.53,162495.39,4
7,Python,0.01,"_",333.23,119730.71,4
18,Python,1,"_",237.82,167768.20,4
24,Python,0.01,"_",334.14,119405.82,4
1,Python,0.01,"_",327.76,121730.88,4
23,Python,1,"_",240.76,165719.33,4
19,Python,0.001,"_",370.63,107650.22,4
19,Python,1,"_",239.80,166380.02,4
24,Python,0.1,"_",256.12,155775.98,4
2,Python,0.01,"_",328.57,121430.42,4
10,Python,1,"_",240.92,165604.47,4
6,Python,0.01,"_",329.73,121001.60,4
12,Python,0.1,"_",249.98,159605.75,4
3,Python,0.1,"_",248.18,160761.59,4
6,Python,0.1,"_",249.13,160149.38,4
18,Python,0.1,"_",252.71,157878.29,4
2,Python,0.1,"_",244.30,163315.05,4
13,Python,0.1,"_",249.50,159910.24,4
23,Python,0.001,"_",365.66,109111.81,4
26,Python,0.01,"_",331.84,120231.70,4
22,Python,0.01,"_",326.55,122179.71,4
25,Python,0.001,"_",360.44,110692.29,4
25,Python,1,"_",239.29,166732.70,4
21,Python,0.001,"_",359.37,111021.69,4
27,Python,0.001,"_",358.54,111277.63,4
19,Python,0.01,"_",328.23,121554.84,4
23,Python,0.01,"_",327.73,121741.69,4
20,Python,0.001,"_",369.70,107918.47,4
21,Python,0.01,"_",328.95,121287.77,4
5,Python,1,"_",241.33,165322.28,4
11,Python,1,"_",241.53,165190.60,4
22,Python,0.1,"_",251.01,158948.10,4
10,Python,0.1,"_",251.75,158479.41,4
20,Python,0.01,"_",333.25,119725.44,4
4,Python,0.1,"_",252.36,158098.50,4
5,Python,0.1,"_",245.76,162344.61,4
27,Python,0.01,"_",327.27,121910.35,4
17,Python,0.001,"_",355.47,112238.57,4
15,Python,0.01,"_",331.10,120502.45,4
16,Python,0.001,"_",366.60,108832.07,4
9,Python,0.01,"_",330.53,120708.43,4
11,Python,0.01,"_",329.17,121208.47,4
14,Python,0.001,"_",368.54,108257.99,4
29,Python,0.1,"_",252.04,158301.85,4
9,Python,0.1,"_",252.56,157976.39,4
11,Python,0.1,"_",250.13,159511.61,4
0,Python,0.1,"_",253.89,157145.88,4
28,Python,0.1,"_",254.69,156654.24,4
24,Python,0.001,"_",362.33,110115.86,4
17,Python,0.01,"_",326.84,122071.74,4
7,Python,1,"_",240.74,165730.63,4
12,Python,0.001,"_",369.20,108064.92,4
3,Python,0.001,"_",370.26,107756.52,4
6,Python,0.001,"_",360.52,110667.24,4
18,Python,0.001,"_",355.93,112094.57,4
16,Python,0.01,"_",333.00,119815.18,4
24,Python,1,"_",239.96,166270.49,4
12,Python,0.01,"_",328.78,121350.14,4
3,Python,0.01,"_",329.90,120939.24,4
6,Python,1,"_",240.06,166202.97,4
14,Python,0.01,"_",329.84,120962.31,4
2,Python,0.001,"_",358.08,111421.45,4
2,Python,1,"_",238.84,167050.87,4
13,Python,0.001,"_",375.87,106147.99,4
13,Python,1,"_",243.60,163782.30,4
7,Python,0.1,"_",242.89,164266.05,4
8,Python,0.01,"_",327.76,121727.62,4
1,Python,0.1,"_",255.36,156244.69,4
8,Python,0.1,"_",254.00,157077.39,4
26,Python,0.001,"_",378.92,105293.52,4
13,Python,0.01,"_",326.98,122019.09,4
18,Python,0.01,"_",329.09,121235.45,4
22,Python,0.001,"_",370.40,107714.36,4
10,Python,0.001,"_",358.65,111243.32,4
22,Python,1,"_",240.85,165651.81,4
26,Python,1,"_",240.22,166086.22,4
4,Python,0.001,"_",372.11,107222.18,4
4,Python,1,"_",239.39,166664.38,4
21,Python,1,"_",238.03,167619.44,4
9,Python,1,"_",240.91,165616.16,4
5,Python,0.001,"_",358.53,111282.06,4
26,Python,0.1,"_",254.02,157065.27,4
4,Python,0.01,"_",332.40,120028.39,4
20,Python,1,"_",238.71,167140.68,4
19,Python,0.1,"_",255.99,155858.95,4
15,Python,0.001,"_",370.69,107632.92,4
10,Python,0.01,"_",327.73,121741.04,4
25,Python,0.01,"_",331.93,120200.22,4
27,Python,1,"_",241.58,165154.94,4
29,Python,0.001,"_",354.89,112424.00,4
29,Python,1,"_",242.49,164531.87,4
9,Python,0.001,"_",357.15,111712.06,4
11,Python,0.001,"_",359.73,110911.57,4
15,Python,1,"_",240.83,165669.69,4
0,Python,0.001,"_",378.33,105457.58,4
0,Python,1,"_",241.71,165064.25,4
28,Python,0.001,"_",371.49,107400.14,4
28,Python,1,"_",242.13,164777.88,4
23,Python,0.1,"_",247.51,161194.75,4
5,Python,0.01,"_",335.10,119063.61,4
25,Python,0.1,"_",246.45,161890.04,4
21,Python,0.1,"_",243.33,163967.96,4
27,Python,0.1,"_",244.39,163252.44,4
8,Python,1,"_",242.17,164755.06,4
15,Python,0.1,"_",246.63,161774.53,4
20,Python,0.1,"_",248.03,160859.09,4
