repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
26,Python,0.001,"_",56.23,64787.08,8
22,Python,0.001,"_",56.13,64900.37,8
26,Python,1,"_",41.03,88781.41,8
25,Python,0.001,"_",66.79,54543.50,8
13,Python,0.001,"_",65.53,55588.76,8
9,Python,0.001,"_",60.03,60685.42,8
25,Python,0.1,"_",43.44,83862.17,8
25,Python,1,"_",41.63,87510.42,8
10,Python,0.1,"_",44.61,81657.47,8
16,Python,0.01,"_",57.29,63585.10,8
0,Python,0.01,"_",59.80,60920.48,8
14,Python,0.01,"_",55.64,65475.65,8
20,Python,0.1,"_",43.09,84534.90,8
29,Python,0.01,"_",51.96,70111.43,8
6,Python,0.001,"_",63.32,57528.88,8
24,Python,0.01,"_",56.45,64536.63,8
27,Python,0.1,"_",43.51,83724.46,8
4,Python,0.001,"_",58.82,61932.73,8
15,Python,1,"_",41.11,88620.82,8
17,Python,1,"_",41.54,87704.12,8
18,Python,0.01,"_",52.84,68935.69,8
21,Python,1,"_",40.78,89323.01,8
28,Python,0.001,"_",62.72,58083.73,8
1,Python,0.001,"_",61.43,59303.31,8
6,Python,0.1,"_",43.53,83688.40,8
20,Python,0.01,"_",57.03,63880.30,8
23,Python,0.001,"_",59.64,61079.35,8
19,Python,0.1,"_",43.79,83187.12,8
7,Python,0.001,"_",71.63,50854.36,8
23,Python,1,"_",40.76,89364.91,8
25,Python,0.01,"_",56.30,64702.40,8
5,Python,0.1,"_",43.76,83242.49,8
16,Python,0.1,"_",43.74,83287.19,8
7,Python,1,"_",40.81,89269.90,8
3,Python,0.1,"_",43.43,83886.81,8
14,Python,0.001,"_",69.59,52345.16,8
14,Python,1,"_",40.65,89610.00,8
13,Python,0.01,"_",57.91,62904.75,8
18,Python,1,"_",41.07,88710.01,8
11,Python,0.01,"_",52.59,69273.08,8
2,Python,0.1,"_",43.72,83319.57,8
29,Python,1,"_",41.57,87643.34,8
24,Python,0.001,"_",56.02,65030.91,8
7,Python,0.1,"_",44.18,82448.44,8
21,Python,0.01,"_",55.83,65252.47,8
17,Python,0.01,"_",60.72,59997.03,8
24,Python,0.1,"_",43.37,83986.95,8
12,Python,1,"_",40.55,89835.34,8
12,Python,0.1,"_",44.00,82796.10,8
12,Python,0.001,"_",55.08,66132.74,8
19,Python,0.01,"_",57.78,63051.88,8
22,Python,0.1,"_",44.06,82680.56,8
5,Python,0.01,"_",54.94,66304.26,8
8,Python,0.1,"_",43.82,83129.05,8
8,Python,1,"_",41.30,88215.56,8
10,Python,1,"_",40.94,88983.89,8
10,Python,0.001,"_",63.38,57476.37,8
1,Python,0.01,"_",57.18,63703.93,8
13,Python,1,"_",43.30,84136.25,8
9,Python,0.1,"_",43.70,83365.75,8
9,Python,1,"_",41.32,88173.60,8
20,Python,0.001,"_",59.51,61218.94,8
20,Python,1,"_",41.33,88132.33,8
23,Python,0.01,"_",54.46,66888.91,8
26,Python,0.1,"_",43.87,83035.30,8
27,Python,0.001,"_",65.91,55272.63,8
7,Python,0.01,"_",56.02,65026.65,8
3,Python,0.01,"_",52.47,69430.61,8
15,Python,0.001,"_",71.65,50839.82,8
17,Python,0.001,"_",72.12,50514.87,8
13,Python,0.1,"_",44.03,82742.24,8
27,Python,1,"_",41.59,87599.33,8
4,Python,0.1,"_",43.54,83664.89,8
11,Python,0.001,"_",62.16,58605.28,8
11,Python,0.1,"_",44.61,81657.19,8
11,Python,1,"_",40.87,89131.92,8
4,Python,1,"_",41.28,88244.46,8
2,Python,0.01,"_",55.21,65987.55,8
28,Python,1,"_",41.22,88372.66,8
6,Python,1,"_",41.44,87917.19,8
21,Python,0.001,"_",58.38,62396.26,8
12,Python,0.01,"_",63.15,57682.40,8
19,Python,0.001,"_",64.66,56343.11,8
26,Python,0.01,"_",59.73,60992.33,8
15,Python,0.1,"_",43.81,83159.38,8
17,Python,0.1,"_",43.37,84000.49,8
5,Python,0.001,"_",72.49,50253.21,8
5,Python,1,"_",40.87,89139.99,8
8,Python,0.01,"_",55.98,65073.63,8
21,Python,0.1,"_",45.11,80753.52,8
19,Python,1,"_",41.31,88180.31,8
22,Python,0.01,"_",52.35,69584.43,8
10,Python,0.01,"_",53.80,67707.74,8
28,Python,0.1,"_",43.53,83679.34,8
16,Python,0.001,"_",64.43,56537.89,8
3,Python,0.001,"_",58.54,62226.75,8
3,Python,1,"_",41.49,87797.85,8
1,Python,1,"_",41.03,88787.37,8
16,Python,1,"_",41.46,87858.87,8
9,Python,0.01,"_",59.59,61134.82,8
18,Python,0.001,"_",70.08,51979.00,8
1,Python,0.1,"_",43.71,83333.56,8
0,Python,1,"_",41.50,87785.93,8
0,Python,0.1,"_",43.64,83483.58,8
0,Python,0.001,"_",74.98,48587.49,8
2,Python,1,"_",41.69,87384.30,8
29,Python,0.001,"_",59.64,61080.98,8
29,Python,0.1,"_",43.89,82992.26,8
23,Python,0.1,"_",43.80,83176.04,8
24,Python,1,"_",42.57,85575.38,8
4,Python,0.01,"_",52.72,69092.83,8
27,Python,0.01,"_",62.10,58657.29,8
15,Python,0.01,"_",53.86,67637.82,8
22,Python,1,"_",41.06,88715.47,8
14,Python,0.1,"_",43.49,83757.58,8
2,Python,0.001,"_",53.20,68472.42,8
8,Python,0.001,"_",56.01,65043.79,8
28,Python,0.01,"_",55.67,65438.43,8
18,Python,0.1,"_",43.65,83455.75,8
6,Python,0.01,"_",51.48,70770.15,8
