repetitions,sampling_period,metrics,time,Mops
0,Python,0.01,"_",231.67,172216.56
8,Python,0.1,"_",234.64,170040.60
5,Python,0.1,"_",234.53,170117.04
5,Python,1,"_",234.63,170042.93
9,Python,0.1,"_",233.16,171120.69
6,Python,0.001,"_",232.53,171581.49
8,Python,0.01,"_",238.77,167098.37
6,Python,1,"_",233.99,170514.74
9,Python,0.01,"_",235.44,169464.27
5,Python,0.01,"_",235.09,169711.40
6,Python,0.01,"_",236.48,168715.97
1,Python,0.1,"_",234.58,170082.39
1,Python,1,"_",231.94,172020.37
3,Python,1,"_",235.24,169605.33
6,Python,0.1,"_",235.80,169204.34
1,Python,0.001,"_",232.91,171299.77
3,Python,0.001,"_",234.04,170474.54
7,Python,0.001,"_",232.91,171302.72
3,Python,0.01,"_",235.49,169422.00
3,Python,0.1,"_",234.24,170330.87
2,Python,0.001,"_",234.34,170260.18
2,Python,1,"_",236.07,169010.60
8,Python,0.001,"_",233.89,170580.63
7,Python,1,"_",233.75,170688.21
2,Python,0.01,"_",234.48,170151.90
1,Python,0.01,"_",235.16,169665.98
2,Python,0.1,"_",234.73,169973.53
7,Python,0.01,"_",233.91,170568.65
4,Python,1,"_",235.08,169724.06
0,Python,1,"_",236.35,168806.91
0,Python,0.001,"_",234.93,169826.66
0,Python,0.1,"_",233.48,170884.83
9,Python,0.001,"_",234.82,169911.92
7,Python,0.1,"_",235.38,169502.88
4,Python,0.001,"_",233.61,170791.89
4,Python,0.01,"_",234.67,170013.78
8,Python,1,"_",235.17,169653.35
4,Python,0.1,"_",234.14,170402.55
9,Python,1,"_",234.42,170200.50
5,Python,0.001,"_",236.19,168924.99
