repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
3,Without,-1,"_",40.54,89852.75,8
1,Without,-1,"_",40.96,88943.45,8
17,Without,-1,"_",40.56,89817.05,8
8,Without,-1,"_",40.52,89909.52,8
15,Without,-1,"_",40.28,90435.84,8
28,Without,-1,"_",40.59,89759.52,8
26,Without,-1,"_",40.62,89683.77,8
25,Without,-1,"_",43.78,83205.84,8
13,Without,-1,"_",40.51,89922.84,8
29,Without,-1,"_",41.42,87947.18,8
12,Without,-1,"_",40.37,90243.27,8
0,Without,-1,"_",40.55,89832.01,8
23,Without,-1,"_",40.88,89111.15,8
16,Without,-1,"_",41.39,88012.07,8
5,Without,-1,"_",40.37,90240.25,8
7,Without,-1,"_",41.25,88302.77,8
14,Without,-1,"_",42.99,84746.24,8
20,Without,-1,"_",40.71,89477.80,8
10,Without,-1,"_",40.27,90451.71,8
11,Without,-1,"_",41.31,88180.51,8
22,Without,-1,"_",40.97,88907.85,8
27,Without,-1,"_",41.00,88843.03,8
18,Without,-1,"_",40.52,89902.84,8
2,Without,-1,"_",40.64,89638.57,8
4,Without,-1,"_",41.01,88839.31,8
21,Without,-1,"_",41.07,88696.94,8
6,Without,-1,"_",41.29,88217.44,8
24,Without,-1,"_",40.80,89279.83,8
19,Without,-1,"_",41.43,87924.45,8
9,Without,-1,"_",40.63,89670.18,8
